,Product,Price,Status
0,"Laptop Gaming Asus ROG Strix G531GD cu procesor Intel® Core™ i5-9300H pana la 4.10 GHz Coffee Lake, 15.6"", Full HD, IPS, 8GB, 512GB SSD, NVIDIA GeForce GTX 1050 4GB, Free DOS, Black",2.99999 Lei,în stoc
1,"Laptop Gaming HP Pavilion 15-dk0004nq cu procesor Intel® Core™ i7-9750H pana la 4.50 GHz Coffee Lake, 15.6"", Full HD, IPS, 8GB, 1TB HDD + 128GB SSD, NVIDIA GeForce GTX 1650 4GB, Free DOS, Shadow Black",5.19999 Lei,indisponibil
2,"Laptop ultraportabil Lenovo Ideapad S340-14IWL cu procesor Intel® Core i5-8265U pana la 3.90 GHz, 14"", Full HD, IPS, 8GB, 512GB SSD, Intel UHD Graphics 620, Free DOS, Platinum Grey",2.29999 Lei,în stoc
3,"Laptop Gaming ASUS TUF FX505DT cu procesor AMD Ryzen 7-3750H pana la 4.0GHz, 15.6"", Full HD, 120Hz, 8GB, 1TB HDD + 256GB SSD M.2, NVIDIA® GeForce GTX 1650 4GB GDDR5, Free DOS, Black",3.44999 Lei,în stoc
4,"Laptop Gaming Acer Nitro 5 AN515-54-783J cu procesor Intel® Core™ i7-9750H pana la 4.50 GHz Coffee Lake, 15.6"", Full HD, 8GB, 512GB SSD, NVIDIA GeForce GTX 1650 4GB, Linux, Obsidian Black",3.89999 Lei,în stoc
5,"Laptop Lenovo V130-15IKB, cu procesor Intel® Celeron 3867U 1.80 GHz, Dual Core, 15.6"", HD, 4GB, 1TB HDD, Intel HD Graphics 610, Free DOS, Iron Grey",89999 Lei,în stoc
6,"Laptop ASUS X512UA cu procesor Intel® Core™ i3-7020U Kaby Lake, 15.6"", Full HD, 4GB, 128GB SSD, Intel® HD graphics 620, Windows 10 HOME S, Slate Gray",1.79999 Lei,în stoc
7,"Laptop Gaming Asus Zephyrus S GX502GW cu procesor Intel® Core™ i7-9750H pana la 4.5 GHz, 15.6"", Full HD, 144 Hz, 16GB, 512GB SSD M.2, NVIDIA® GeForce RTX™ 2070 8GB, Free DOS, Black",10.99999 Lei,ultimul produs in stoc
8,"Laptop HP 15-da1009nq cu procesor Intel Core i5-8265U pana la 3.90 GHz Whiskey Lake, 15.6"", Full HD, 8GB, 256GB SSD, Nvidia GeForce MX110 2GB, Free DOS, Jet Black",2.09999 Lei,în stoc
9,"Laptop ASUS VivoBook X512DA cu procesor AMD® Ryzen™ 5 3500U pana la 3.7 GHz, 15.6"", Full HD, 8GB, 256GB SSD M.2, Radeon™ Vega 8 Graphics, Free DOS, Slate Gray",1.89999 Lei,în stoc
10,"Laptop Gaming Acer Predator Helios 300 PH317-53-739D cu procesor Intel® Core™ i7-9750H pana la 4.50 GHz Coffee Lake, 17.3"", Full HD, IPS, 144Hz, 16GB, 1TB SSD, NVIDIA GeForce GTX 1660Ti 6GB, Windows 10 Home, Abysal Black",6.59999 Lei,în stoc
11,"Laptop 2 in 1 Lenovo Miix MIIX310 cu procesor Intel® Atom™ x5-Z8350 1.92 GHz, 10.1"" HD, IPS, 2GB, 64GB eMMC, LTE/4G, Windows 10 Home, Platinum silver",89999 Lei,în stoc
12,"Laptop ASUS X509FJ cu cu procesor Intel® Core™ i5-8265U pana la 3.90 GHz Whiskey Lake, 15.6"", Full HD, 8GB, 256GB SSD, NVIDIA GeForce MX230 2GB, Free DOS, Slate Gray",2.29999 Lei,în stoc
13,"Laptop Gaming Lenovo Legion Y530-15ICH cu procesor Intel® Core™ i5-8300H pana la 4.00 GHz Coffee Lake, 15.6"", Full HD, IPS, 144Hz, 8GB, 1TB HDD + 128GB SSD, NVIDIA® GeForce GTX 1060 6GB, Free DOS, Black",3.59999 Lei,în stoc
14,"Laptop Gaming ASUS ROG G G531GT cu procesor Intel® Core™ i5-9300H pana la 4.10 GHz, Coffee Lake, 15.6"", Full HD, IPS, 8GB, 512GB SSD, NVIDIA GeForce GTX 1650 4GB, Free DOS, Black",3.59999 Lei,în stoc
15,"Laptop Gaming Lenovo Legion Y540-15IRH cu procesor Intel® Core i5-9300H pana la 4.10 GHz Coffee Lake, 15.6"", Full HD, IPS, 8GB, 512GB SSD, NVIDIA GeForce RTX 2060 6GB, Free DOS, Black",4.49999 Lei,în stoc
16,"Laptop ASUS X540MA cu procesor Intel® Celeron® N4000 pana la 2.60 GHz, 15.6"", 4GB, 256GB SSD, DVD-RW, Intel® UHD Graphics 600, Endless OS, Chocolate Black",1.04999 Lei,în stoc
17,"Laptop Allview Allbook M cu procesor Intel® Celeron® N3350 pana la 2.40 GHz, 13.3"", Full HD, IPS, 4GB, 64GB eMMC, Intel® HD Graphics, Microsoft Windows 10, Grey",99999 Lei,în stoc
18,"Laptop ASUS X543MA cu procesor Intel® Celeron™ N4000 pana la 2.60 GHz Gemini Lake, 15.6"", HD, 4GB, 1TB HDD, Intel UHD Graphics 600, DVD-RW, Endless OS, Transparent Silver",99999 Lei,în stoc
19,"Laptop Gaming Lenovo Legion Y7000 cu procesor Intel® Core i7-9750H pana la 4.50 GHz, 15.6"", Full HD, IPS, 8GB, 256GB SSD M.2, NVIDIA GeForce GTX 1650 4GB GDDR5, Free DOS, Black",4.49999 Lei,în stoc
20,"Laptop ASUS X509FB cu procesor Intel® Core™ i3-8145U pana la 3.90 GHz Whiskey Lake, 15.6"", Full HD, 4GB, 256GB SSD, NVIDIA GeForce MX110 2GB, Free DOS, Slate Gray",1.74999 Lei,în stoc
21,"Laptop Acer Aspire 3 A315-33-P2P5 cu procesor Intel Pentium N3710 pana la 2.56 GHz, 15.6"", HD, 4GB, 128GB SSD, Intel HD Graphics, Linux, Red",99999 Lei,în stoc
22,"Laptop Gaming ASUS ROG G531GT cu procesor Intel® Core™ i7-9750H pana la 4.50 GHz, Coffee Lake, 15.6"", Full HD IPS, 8GB, 512GB SSD M.2, NVIDIA GeForce GTX 1650 4GB, Free DOS, Black",4.39999 Lei,în stoc
23,"Laptop Dell Inspiron 3583 cu procesor Intel® Core™ i5-8265U pana la 3.90 GHz Whiskey Lake, 15.6"", Full HD, 8GB, 512GB SSD, AMD Radeon 520 2GB, Linux, Black",2.39999 Lei,în stoc
24,"Laptop Dell Inspiron 3582 cu procesor Intel ® Celeron ™ N4000 pana la 2.60 GHz, 15.6"", HD, 4GB, 500GB HDD, Intel UHD Graphics 600, Ubuntu, Black",89999 Lei,în stoc
25,"Laptop Apple MacBook Pro 13"" Touch Bar, procesor Intel® Core™ i5 1.4GHz, 8GB, 128GB SSD, Intel Iris Plus Graphics 645, Space Grey, INT KB",6.69999 Lei,în stoc
26,"Laptop ASUS X540MA-GO207 cu procesor Intel® Celeron® N4000 pana la 2.60 GHz, 15.6"", 4GB, 500GB, Intel® UHD Graphics 600, Endless OS, Chocolate Black",94999 Lei,în stoc furnizor
27,"Laptop HP 15-ra001nq cu procesor Intel Celeron N3060 pana la 2.48 GHz Braswell, 15.6"", HD, 4GB, 128GB SSD, Intel HD Graphics, Windows 10, Jet Black",1.09999 Lei,în stoc
28,"Laptop ASUS X509FA cu procesor Intel® Core™ i3-8145U Whiskey Lake, 15.6"", Full HD, 4GB, 256GB SSD, Intel UHD Graphics 620, Windows 10, Transparent Silver",1.89999 Lei,în stoc
29,"Laptop 2 in 1 Lenovo Miix 320-10ICR cu procesor Intel® Atom™ x5-Z8350 1.92 GHz, 10.1"" HD, IPS, 4GB, 64GB eMMC, LTE/4G, Windows 10 Home, Platinum silver",1.04999 Lei,în stoc
30,"Laptop Apple MacBook Air 13 cu procesor Intel® Dual Core™ i5 1.80GHz, 13.3"", 8GB, 128GB SSD, Intel® HD Graphics 6000, INT KB, Silver",4.49999 Lei,în stoc
31,"Laptop Dell Inspiron 3584 cu procesor Intel® Core™ i3-7020U 2.3 GHz Kaby Lake, 15.6"", Full HD, 4GB, 1TB HDD, AMD Radeon 520 2GB, Ubuntu, Black",1.44999 Lei,în stoc
32,"Laptop HP 15-da0192nq cu procesor Intel Core i3-7020U 2.30 GHz Kaby Lake, 15.6"", HD, 4GB, 128GB SSD, Intel HD Graphics, Free DOS, Jet Black",1.29999 Lei,în stoc
33,"Laptop Apple MacBook Air 13 ecran Retina, procesor Intel® Core™ i5 1.6GHz, 8GB, 128GB SSD, Intel UHD Graphics 617, Gold, INT KB",5.49999 Lei,în stoc
34,"Laptop ASUS X509FL cu procesor Intel® Core™ i5-8265U pana la 3.9 GHz, 15.6"", Full HD, 8GB, 256GB SSD M.2, NVIDIA GeForce MX250 2GB, Free DOS, Slate Gray",2.39999 Lei,în stoc
35,"Laptop Gaming Lenovo Legion Y7000 cu procesor Intel® Core i5-9300H pana la 4.10 GHz, 15.6"", Full HD, IPS, 8GB, 256GB SSD M.2, NVIDIA GeForce GTX 1650 4GB GDDR5, Free DOS, Black",3.49999 Lei,în stoc
36,"Laptop ASUS X543UA cu procesor Intel® Pentium® Gold 4417U 2.3 GHz, 15.6"", Full HD, 4GB, 256GB SSD, Intel HD Graphics 610, Endless OS, Star Gray",1.04999 Lei,în stoc
37,"Laptop Asus X509FL cu procesor Intel® Core™ i7-8565U pana la 4.60 GHz Whiskey Lake, 15.6"", Full HD, 8GB, 256GB SSD M.2, NVIDIA GeForce MX250 2GB, Free DOS, Slate Gray",2.99999 Lei,în stoc
38,"Laptop Gaming OMEN by HP 15-dh0001nq cu procesor Intel Core i7-9750H pana la 4.50 GHz Coffee Lake, 15.6"", Full HD, IPS, 16GB, 512GB SSD, Nvidia GeForce RTX 2060 6GB, Free DOS, Shadow Black",5.59999 Lei,în stoc
39,"Laptop gaming ASUS ROG Strix G531GT cu procesor Intel® Core™ i7-9750H pana la 4.50 GHz Coffee Lake, 15.6"", Full HD, IPS, 120Hz, 16GB, 512GB SSD, NVIDIA GeForce GTX 1650 4GB, Free DOS, Black",4.49999 Lei,în stoc
40,"Laptop Gaming Acer Nitro 5 AN515-54 cu procesor Intel® Core™ i7-9750H pana la 4.50 GHz Coffee Lake, 15.6"", Full HD, IPS 8GB, 512GB SSD, NVIDIA® GeForce GTX 1650 4GB, Free DOS, Black",3.89999 Lei,în stoc
